timestamp,rssi,s1x,s1y,s1z,s2x,s2y,s2z,s3x,s3y,s3z,s4x,s4y,s4z,s5x,s5y,s5z,Gateway,localisation,activity
2017-08-07 13:37:07.459600,-44,0.59375,-0.78125,-0.15625,0.59375,-0.75,-0.15625,0.59375,-0.84375,-0.15625,0.625,-0.84375,-0.1875,0.6875,-0.9375,-0.25,living,living,sitting
2017-08-07 13:37:07.664100,-61,0.71875,-1.0,-0.28125,0.75,-1.15625,-0.375,0.90625,-1.3125,-0.375,1.28125,-1.0625,-0.46875,1.1875,-1.09375,-0.28125,living,living,sitting
2017-08-07 13:37:07.676400,-74,0.71875,-1.0,-0.28125,0.75,-1.15625,-0.375,0.90625,-1.3125,-0.375,1.28125,-1.0625,-0.46875,1.1875,-1.09375,-0.28125,bedroom,living,sitting
2017-08-07 13:37:07.855400,-86,1.1875,-1.09375,-0.1875,1.21875,-0.5625,-0.15625,1.09375,-0.25,0.03125,0.75,-0.125,0.0625,0.5,0.0,0.09375,custom,living,sitting
2017-08-07 13:37:07.872600,-83,1.1875,-1.09375,-0.1875,1.21875,-0.5625,-0.15625,1.09375,-0.25,0.03125,0.75,-0.125,0.0625,0.5,0.0,0.09375,living,living,sitting
2017-08-07 13:37:07.884900,-80,1.1875,-1.09375,-0.1875,1.21875,-0.5625,-0.15625,1.09375,-0.25,0.03125,0.75,-0.125,0.0625,0.5,0.0,0.09375,bedroom,living,sitting
2017-08-07 13:37:08.074100,-61,0.25,-0.03125,0.09375,0.21875,-0.0625,-0.03125,-0.03125,0.0625,0.03125,-0.125,0.0625,0.0625,-0.46875,0.15625,0.28125,living,living,sitting
2017-08-07 13:37:08.086300,-72,0.25,-0.03125,0.09375,0.21875,-0.0625,-0.03125,-0.03125,0.0625,0.03125,-0.125,0.0625,0.0625,-0.46875,0.15625,0.28125,bedroom,living,sitting
2017-08-07 13:37:08.266800,-91,-0.78125,0.34375,0.375,-0.71875,0.84375,0.46875,-0.875,1.125,0.71875,-0.84375,1.03125,0.71875,-0.71875,0.90625,0.6875,custom,living,sitting
2017-08-07 13:37:08.284100,-67,-0.78125,0.34375,0.375,-0.71875,0.84375,0.46875,-0.875,1.125,0.71875,-0.84375,1.03125,0.71875,-0.71875,0.90625,0.6875,living,living,sitting
2017-08-07 13:37:08.296200,-72,-0.78125,0.34375,0.375,-0.71875,0.84375,0.46875,-0.875,1.125,0.71875,-0.84375,1.03125,0.71875,-0.71875,0.90625,0.6875,bedroom,living,sitting
2017-08-07 13:37:08.472000,-93,-0.65625,0.90625,0.65625,-0.59375,0.875,0.46875,-0.6875,0.96875,0.65625,-0.71875,0.96875,0.4375,-0.5,1.09375,0.34375,custom,living,sitting
2017-08-07 13:37:08.491000,-96,-0.65625,0.90625,0.65625,-0.59375,0.875,0.46875,-0.6875,0.96875,0.65625,-0.71875,0.96875,0.4375,-0.5,1.09375,0.34375,living,living,sitting
2017-08-07 13:37:08.681200,-92,-0.5,0.96875,0.4375,-0.4375,0.875,0.40625,-0.5,0.6875,0.40625,-0.5,0.8125,0.1875,-0.59375,0.90625,0.15625,custom,living,sitting
2017-08-07 13:37:08.700000,-69,-0.5,0.96875,0.4375,-0.4375,0.875,0.40625,-0.5,0.6875,0.40625,-0.5,0.8125,0.1875,-0.59375,0.90625,0.15625,living,living,sitting
2017-08-07 13:37:08.710600,-95,-0.5,0.96875,0.4375,-0.4375,0.875,0.40625,-0.5,0.6875,0.40625,-0.5,0.8125,0.1875,-0.59375,0.90625,0.15625,bedroom,living,sitting
2017-08-07 13:37:08.712300,-82,-0.5,0.96875,0.4375,-0.4375,0.875,0.40625,-0.5,0.6875,0.40625,-0.5,0.8125,0.1875,-0.59375,0.90625,0.15625,bedroom,living,sitting
2017-08-07 13:37:08.900500,-80,-0.59375,0.84375,0.375,-0.4375,1.1875,0.59375,-0.3125,1.125,0.625,-0.1875,0.90625,0.5,-0.125,0.875,0.34375,living,living,sitting
2017-08-07 13:37:08.912600,-87,-0.59375,0.84375,0.375,-0.4375,1.1875,0.59375,-0.3125,1.125,0.625,-0.1875,0.90625,0.5,-0.125,0.875,0.34375,bedroom,living,sitting
2017-08-07 13:37:09.110500,-86,-0.15625,0.75,0.28125,-0.15625,0.78125,0.40625,-0.15625,0.8125,0.46875,-0.1875,0.84375,0.59375,-0.25,0.6875,0.625,living,living,sitting
2017-08-07 13:37:09.122600,-79,-0.15625,0.75,0.28125,-0.15625,0.78125,0.40625,-0.15625,0.8125,0.46875,-0.1875,0.84375,0.59375,-0.25,0.6875,0.625,bedroom,living,sitting
2017-08-07 13:37:09.314300,-76,-0.28125,0.625,0.59375,-0.25,0.71875,0.625,-0.25,0.75,0.625,-0.21875,0.75,0.5625,-0.21875,0.75,0.5625,living,living,sitting
2017-08-07 13:37:09.326300,-88,-0.28125,0.625,0.59375,-0.25,0.71875,0.625,-0.25,0.75,0.625,-0.21875,0.75,0.5625,-0.21875,0.75,0.5625,bedroom,living,sitting
2017-08-07 13:37:09.523200,-76,-0.21875,0.78125,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.71875,0.59375,living,living,sitting
2017-08-07 13:37:09.535100,-75,-0.21875,0.78125,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.71875,0.59375,bedroom,living,sitting
2017-08-07 13:37:09.703200,-80,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,custom,living,sitting
2017-08-07 13:37:09.911900,-93,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,custom,living,sitting
2017-08-07 13:37:09.931000,-85,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:09.943700,-82,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:10.130500,-63,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:10.142600,-79,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:10.333400,-91,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:10.345100,-73,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:10.523800,-79,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,custom,living,sitting
2017-08-07 13:37:10.542100,-92,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:10.554100,-89,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:10.725600,-94,-0.21875,0.75,0.5625,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,custom,living,sitting
2017-08-07 13:37:10.743000,-74,-0.21875,0.75,0.5625,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:10.929000,-92,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,custom,living,sitting
2017-08-07 13:37:10.948000,-86,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:10.958600,-87,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:11.370300,-73,-0.21875,0.75,0.5625,-0.21875,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,-0.25,0.75,0.5625,bedroom,living,sitting
2017-08-07 13:37:11.580100,-74,-0.21875,0.71875,0.59375,-0.21875,0.75,0.59375,-0.25,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:11.750600,-79,-0.21875,0.75,0.5625,-0.25,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,custom,living,sitting
2017-08-07 13:37:11.769100,-94,-0.21875,0.75,0.5625,-0.25,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:11.780000,-82,-0.21875,0.75,0.5625,-0.25,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:11.972900,-66,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:11.985000,-68,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.25,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
2017-08-07 13:37:12.156900,-84,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,custom,living,sitting
2017-08-07 13:37:12.174200,-67,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,living,living,sitting
2017-08-07 13:37:12.186500,-85,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,-0.21875,0.75,0.59375,bedroom,living,sitting
