timestamp,rssi,s1x,s1y,s1z,s2x,s2y,s2z,s3x,s3y,s3z,s4x,s4y,s4z,s5x,s5y,s5z,Gateway,localisation,activity
2017-08-01 15:31:30.732500,-25,0.3125,-0.4375,-0.78125,0.3125,-0.40625,-0.75,0.3125,-0.4375,-0.6875,0.3125,-0.40625,-0.8125,0.3125,-0.40625,-0.84375,living,living,sitting
2017-08-01 15:31:30.760100,-71,0.3125,-0.4375,-0.78125,0.3125,-0.40625,-0.75,0.3125,-0.4375,-0.6875,0.3125,-0.40625,-0.8125,0.3125,-0.40625,-0.84375,bedroom,living,sitting
2017-08-01 15:31:30.942100,-41,0.34375,-0.40625,-0.84375,0.21875,-0.34375,-0.71875,0.3125,-0.375,-0.75,0.3125,-0.375,-0.8125,0.3125,-0.375,-0.84375,living,living,sitting
2017-08-01 15:31:30.969100,-82,0.34375,-0.40625,-0.84375,0.21875,-0.34375,-0.71875,0.3125,-0.375,-0.75,0.3125,-0.375,-0.8125,0.3125,-0.375,-0.84375,bedroom,living,sitting
2017-08-01 15:31:31.145400,-26,0.3125,-0.40625,-0.78125,0.34375,-0.40625,-0.75,0.28125,-0.34375,-0.75,0.3125,-0.40625,-0.8125,0.3125,-0.375,-0.84375,living,living,sitting
2017-08-01 15:31:31.171400,-68,0.3125,-0.40625,-0.78125,0.34375,-0.40625,-0.75,0.28125,-0.34375,-0.75,0.3125,-0.40625,-0.8125,0.3125,-0.375,-0.84375,bedroom,living,sitting
2017-08-01 15:31:31.763300,-99,0.34375,-0.375,-0.78125,0.3125,-0.40625,-0.71875,0.34375,-0.46875,-0.75,0.34375,-0.53125,-0.75,0.34375,-0.5625,-0.78125,custom,living,sitting
2017-08-01 15:31:31.767500,-33,0.34375,-0.375,-0.78125,0.3125,-0.40625,-0.71875,0.34375,-0.46875,-0.75,0.34375,-0.53125,-0.75,0.34375,-0.5625,-0.78125,living,living,sitting
2017-08-01 15:31:31.797200,-86,0.34375,-0.375,-0.78125,0.3125,-0.40625,-0.71875,0.34375,-0.46875,-0.75,0.34375,-0.53125,-0.75,0.34375,-0.5625,-0.78125,bedroom,living,sitting
2017-08-01 15:31:31.967200,-84,0.34375,-0.53125,-0.875,0.34375,-0.6875,-0.84375,0.34375,-0.65625,-0.875,0.46875,-0.53125,-0.84375,0.34375,-0.46875,-0.96875,custom,living,sitting
2017-08-01 15:31:31.970900,-57,0.34375,-0.53125,-0.875,0.34375,-0.6875,-0.84375,0.34375,-0.65625,-0.875,0.46875,-0.53125,-0.84375,0.34375,-0.46875,-0.96875,living,living,sitting
2017-08-01 15:31:32.003400,-62,0.34375,-0.53125,-0.875,0.34375,-0.6875,-0.84375,0.34375,-0.65625,-0.875,0.46875,-0.53125,-0.84375,0.34375,-0.46875,-0.96875,bedroom,living,sitting
2017-08-01 15:31:32.167600,-85,0.25,-0.875,-0.75,0.53125,-0.78125,-0.65625,0.65625,-0.75,-0.59375,0.71875,-0.90625,-0.3125,0.78125,-0.9375,-0.1875,custom,living,sitting
2017-08-01 15:31:32.203500,-71,0.25,-0.875,-0.75,0.53125,-0.78125,-0.65625,0.65625,-0.75,-0.59375,0.71875,-0.90625,-0.3125,0.78125,-0.9375,-0.1875,bedroom,living,sitting
2017-08-01 15:31:32.375500,-86,0.6875,-0.6875,-0.09375,0.46875,-1.0625,0.09375,0.21875,-0.8125,0.15625,0.375,-0.34375,0.1875,0.15625,-0.84375,0.40625,custom,living,sitting
2017-08-01 15:31:32.411100,-78,0.6875,-0.6875,-0.09375,0.46875,-1.0625,0.09375,0.21875,-0.8125,0.15625,0.375,-0.34375,0.1875,0.15625,-0.84375,0.40625,bedroom,living,sitting
2017-08-01 15:31:32.581900,-88,0.125,-0.75,0.46875,0.125,-0.625,0.4375,0.0,-0.53125,0.59375,0.0,-0.28125,0.46875,-0.03125,-0.46875,0.5,custom,living,sitting
2017-08-01 15:31:32.589600,-81,0.125,-0.75,0.46875,0.125,-0.625,0.4375,0.0,-0.53125,0.59375,0.0,-0.28125,0.46875,-0.03125,-0.46875,0.5,living,living,sitting
2017-08-01 15:31:32.615300,-72,0.125,-0.75,0.46875,0.125,-0.625,0.4375,0.0,-0.53125,0.59375,0.0,-0.28125,0.46875,-0.03125,-0.46875,0.5,bedroom,living,sitting
2017-08-01 15:31:32.785800,-94,-0.09375,-0.78125,0.59375,-0.03125,-0.5,0.46875,-0.09375,-0.375,0.53125,-0.21875,-0.3125,0.5625,-0.125,-0.15625,0.4375,custom,living,sitting
2017-08-01 15:31:32.990700,-98,-0.15625,-0.0625,0.40625,-0.1875,0.03125,0.34375,-0.90625,0.375,0.59375,-1.90625,0.4375,0.15625,-0.3125,-0.21875,0.5,custom,living,sitting
2017-08-01 15:31:32.992700,-71,-0.15625,-0.0625,0.40625,-0.1875,0.03125,0.34375,-0.90625,0.375,0.59375,-1.90625,0.4375,0.15625,-0.3125,-0.21875,0.5,living,living,sitting
2017-08-01 15:31:33.024400,-68,-0.15625,-0.0625,0.40625,-0.1875,0.03125,0.34375,-0.90625,0.375,0.59375,-1.90625,0.4375,0.15625,-0.3125,-0.21875,0.5,bedroom,living,sitting
2017-08-01 15:31:33.392600,-95,-0.5,0.8125,0.53125,-0.40625,0.84375,0.4375,-0.15625,1.25,0.4375,-0.125,1.09375,0.40625,-0.25,1.0,0.4375,custom,living,sitting
2017-08-01 15:31:33.400300,-65,-0.5,0.8125,0.53125,-0.40625,0.84375,0.4375,-0.15625,1.25,0.4375,-0.125,1.09375,0.40625,-0.25,1.0,0.4375,living,living,sitting
2017-08-01 15:31:33.426200,-88,-0.5,0.8125,0.53125,-0.40625,0.84375,0.4375,-0.15625,1.25,0.4375,-0.125,1.09375,0.40625,-0.25,1.0,0.4375,bedroom,living,sitting
2017-08-01 15:31:33.607800,-89,-0.25,1.3125,0.3125,-0.15625,1.21875,0.3125,-0.1875,0.5,0.46875,0.0,0.625,0.4375,0.1875,0.5625,0.34375,living,living,sitting
2017-08-01 15:31:33.633200,-73,-0.25,1.3125,0.3125,-0.15625,1.21875,0.3125,-0.1875,0.5,0.46875,0.0,0.625,0.4375,0.1875,0.5625,0.34375,bedroom,living,sitting
2017-08-01 15:31:33.807400,-60,0.46875,0.59375,0.25,0.625,0.53125,0.3125,0.6875,0.5,0.3125,0.75,1.375,1.0,-0.0625,1.375,1.125,living,living,sitting
2017-08-01 15:31:34.012900,-93,0.125,0.3125,0.53125,-0.03125,0.71875,0.875,0.03125,0.96875,0.4375,-0.09375,0.71875,0.5625,0.0625,0.84375,0.53125,custom,living,sitting
2017-08-01 15:31:34.016300,-82,0.125,0.3125,0.53125,-0.03125,0.71875,0.875,0.03125,0.96875,0.4375,-0.09375,0.71875,0.5625,0.0625,0.84375,0.53125,living,living,sitting
